Rank,City,Population
912,Empire and Good Hope,283
913,Olde West Chester,281
914,Nettle Lake and Stratton,277
915,"Chesterhill, Casstown, and Hessville",276
916,Catawba,275
917,Scott,274
918,Zaleski,271
919,North Lawrence,270
920,Rose Farm,269
921,Cherry Fork and Old Washington,268
922,Somerville and Burkettsville,267
923,Tiro and Melrose,262
924,Bannock and Donnelsville,261
925,Fulton,258
926,New Alexandria,256
927,Malinta,253
928,Mitiwanga,252
929,Port William,251
930,Lockbourne and Highland,247
931,Summerfield,246
932,Camp Dennison,244
933,"Higginsport, Orient, and Trinway",243
934,"Homeworth, New Riegel, Remington, and Millfield",237
935,Mount Eaton and Kipton,236
936,Darbyville,234
937,Haydenville and Miamiville,233
938,"Unionville Center, Berkey, and Chesterville",232
939,Vincent,231
940,Connorville,230
941,Lafayette CDP,229
942,Martinsburg,228
943,North Star and Rogers,226
944,Harrisville,225
945,Buckland and Gratiot,224
946,Hills and Dales,222
947,Old Fort,221
948,"Lakeline, Valley Hi, and Hollansburg",218
949,"Jenera, Florida, and Belle Valley",217
950,Roswell,216
951,"Parral, Fort Seneca, and Ludlow Falls",215
952,Gordon,212
953,Hanging Rock,211
954,Helena,210
955,Vinton,209
956,Haviland,202
957,South Salem and Burbank,201
958,East Liberty,199
959,North Robinson and Alvordton,198
960,Pottery Addition,197
961,Harpster and Mount Cory,196
962,Buford,195
963,Zanesfield and Friendship,192
964,West Leipsic and Lafferty,190
965,"Buffalo, Bloomingdale, Moscow, West Elkton, and New Hampshire",189
966,Wren,187
967,Rossburg and Palestine,186
968,"Custar, Nashville, and Latty",184
969,Congress,181
970,Macksburg and Uniopolis,180
971,Sugar Bush Knolls and Cecil,179
972,"Gilboa, Zoar, Rochester, and Tedrow",178
973,Fultonham and Chatfield,177
974,West Millgrove and Newport,176
975,"Orangeville, Rosewood, and Bentonville",175
976,St. Johns,173
977,Glenford and Linndale,172
978,"Kettlersville, Stone Creek, Hockingport, and Sarahsville",171
979,Negley and Bladensburg,168
980,Burgoon,167
981,Lewisville,165
982,Pleasant Plain,164
983,Butlerville,162
984,Cloverdale,160
985,Sparta,158
986,Glencoe and Amesville,157
987,Plainfield and Radnor,156
988,Montezuma,155
989,Hemlock,152
990,"Clifton, Melmore, and Jerusalem",151
991,Raymond,149
992,Rarden,148
993,Leesville,147
994,Milton Center,145
995,"Belmore, Limaville, Dola, and Wilkesville",144
996,Miller City,141
997,Kanauga,138
998,"Put-in-Bay, Bairdstown, and Castine",136
999,"Mifflin, West Rushville, Plainville, and Lewistown",135
"1,000","Sulphur Springs, Patterson, and Lockington",134
"1,001",Nellie,131
"1,002","Sinking Spring, New Weston, and Ithaca",130
"1,003",Yorkshire,129
"1,004",Cheshire,127
"1,005",Summitville,124
"1,006",Parkman,123
"1,007",Bourneville,122
"1,008",Gann and Adamsville,121
"1,009",Brice and Dexter City,120
"1,010",Venedocia,119
"1,011",Wilson,117
"1,012",Pulaski and Pancoastburg,116
"1,013",Broughton,114
"1,014",Kirby,113
"1,015",Milledgeville,110
"1,016",Neville and Harbor View,107
"1,017",Marseilles,106
"1,018",Salesville and Flat Rock,105
"1,019",Mutual and Norwich,101
"1,020",Centerville and Batesville,98
